# MOSRAI Skill Index: 58 skills
# Format: slug|category|tier|platform|stack
# Search with grep: grep -i 'flutter' SKILL_INDEX.txt
# Then read: skills/<slug>/SKILL.md
adb-ui-automation-android|recon|B|android|native
adb-ui-automation|enabling|A|android|native
aes-ecb-decrypt-from-native-key|crypto|B|android|native
android-anti-emulator-bypass-frida|recon|A|android|native
android-antifrida-file-check-bypass|enabling|A|android|native
android-backup-flutter-kernel-string-extraction|storage|B|android|flutter
android-cert-pinning-in-code-bypass|enabling|A|android|native
android-cert-pinning-nsc-repack|enabling|A|android|native
android-jni-string-deobfuscation|crypto|B|android|native
android-native-so-re|recon|B|android|native
android-native-xor-hook|crypto|B|android|native
android-ssl-pinning-bypass|enabling|A|android|native,react-native
android-system-ca-install-webview-https|enabling|A|android|native
android-tls-mitm|enabling|A|android|native
android-toctou-check-permission-bypass|auth|B|android|native
anti-root-bypass-static|enabling|A|android|native
capacitor-deeplink-ato-no-binding|auth|B|android,ios|capacitor,cordova,react-native
capacitor-plugin-audit|recon|B|android,ios|capacitor
capacitor-web-asset-extraction|recon|B|android,ios|capacitor
capacitor-webview-storage-extract|storage|B|android,ios|capacitor
crypto-hardening-retest|crypto|B|android,ios|any
dart-strings-memoria-snapshot-aot|recon|B|android|flutter
emulator-dns-redirect-bind-mount|enabling|A|android|native
encrypted-api-payload-testing|crypto|B|android,ios|any
ffmpeg-hls-crossuser-fileread|backend-pivot|B|android,ios|any
flutter-aot-blutter-frida-hook|recon|B|android|flutter
flutter-bank-rsa-idor|crypto|B|android|flutter
flutter-dart-heap-rsa-carve|crypto|B|android,ios|flutter
flutter-dart-http-intercept|recon|B|android,ios|flutter
flutter-platform-channel-hook|ipc|B|android,ios|flutter
flutter-secure-storage-extract|storage|B|android,ios|flutter
flutter-ssl-bypass-patternscan|enabling|A|android,ios|flutter
frida-root-bypass|enabling|A|android|native
frida-spawn-vs-attach|enabling|A|android|native
ios-buffer-overflow-objectivec|vectors-misc|B|ios|native
ios-deeplink-domain-filter-bypass|deeplink|B|ios|native
ios-format-string-aslr-leak|vectors-misc|B|ios|native
ios-ipa-pentest|enabling|A|ios|native,react-native
ios-jailbreak-bypass-frida|enabling|A|ios|native
ios-ssl-pinning-spki-hash|enabling|A|ios|native
ios-swift-antidebug-frida-bypass|enabling|A|ios|native
ios-swift-static-analysis-r2|recon|B|ios|native
jni-xor-emulation|crypto|B|android|native
llm-prompt-injection-multiframe|vectors-misc|B|android,ios|any
mob-analyze|recon|A|android,ios|any
mob-capacitor|recon|A|android,ios|capacitor
mob-enabling|enabling|A|android,ios|any
mob-flutter|recon|A|android,ios|flutter
mob-native|recon|A|android,ios|native
mob-react-native|recon|A|android,ios|react-native
mob-retest|recon|A|android,ios|any
mob-surface-matrix|recon|A|android,ios|any
native-string-deobfuscation|recon|B|ios,android|native
native-xor-sbox-reverse|crypto|B|android|native
rootbeer-root-detection-bypass|enabling|A|android|native
server-email-template-xss|injection|B|android,ios|any
webview-js-interface-intent-forging|webview|B|android|native
webview-xss-rce-bridge|webview|B|android|native
